 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 7.58102e+08   Inhib.Clock = 3.28535e+08   Live = 0.433365
Backgr.clock = 5.63181e+08    Backgr.Inhib.clock = 1.91921e+08  Live = 0.340781
Background scale factor =  1.71182

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
 173   261     2257       15    0.1156 +- 0.0076   0.1170 +- 0.0077
 174   297     2180       11    0.1362 +- 0.0084   0.1374 +- 0.0085
 175   343     2534        7    0.1354 +- 0.0078   0.1360 +- 0.0078
 176   316     2614       12    0.1209 +- 0.0072   0.1218 +- 0.0073
 177   394     2782       14    0.1416 +- 0.0076   0.1429 +- 0.0077
 178   389     2698       23    0.1442 +- 0.0078   0.1463 +- 0.0080
 179   355     2881       17    0.1232 +- 0.0069   0.1245 +- 0.0070
 180   415     2784       13    0.1491 +- 0.0078   0.1503 +- 0.0079
 181   366     2541       18    0.1440 +- 0.0081   0.1458 +- 0.0082
 182   374     3225       23    0.1160 +- 0.0063   0.1174 +- 0.0064
 183   339     2749       17    0.1233 +- 0.0071   0.1246 +- 0.0072
 184   404     2926       14    0.1381 +- 0.0073   0.1392 +- 0.0074
 185   360     2807       21    0.1283 +- 0.0072   0.1299 +- 0.0073
 186   388     2974       17    0.1305 +- 0.0070   0.1318 +- 0.0071
 187   440     3048       12    0.1444 +- 0.0074   0.1453 +- 0.0074
 188     0     2984       24    0.0000 +- 0.0000   0.0000 +- 0.0000
 189   409     2995       19    0.1366 +- 0.0072   0.1381 +- 0.0073
 190   434     3017       17    0.1439 +- 0.0074   0.1453 +- 0.0075
 191   415     2926       19    0.1418 +- 0.0074   0.1434 +- 0.0075
 192   433     2912       22    0.1487 +- 0.0077   0.1506 +- 0.0078
 193   399     2999        8    0.1330 +- 0.0071   0.1337 +- 0.0071
 194   430     3111       11    0.1382 +- 0.0071   0.1391 +- 0.0072
 195   419     3134       17    0.1337 +- 0.0070   0.1349 +- 0.0070
 196   453     3064       17    0.1478 +- 0.0074   0.1493 +- 0.0075
 197   415     2819        8    0.1472 +- 0.0077   0.1479 +- 0.0078
 198   397     2902       10    0.1368 +- 0.0073   0.1376 +- 0.0074
 199   231     1885       11    0.1225 +- 0.0085   0.1238 +- 0.0086
 200   403     2934       11    0.1374 +- 0.0073   0.1382 +- 0.0074
 201   419     2883       13    0.1453 +- 0.0076   0.1465 +- 0.0077
 202   253     3071       25    0.0824 +- 0.0054   0.0835 +- 0.0055
 203    91     4781     1404    0.0190 +- 0.0020   0.0383 +- 0.0043
 204   194     3155      224    0.0615 +- 0.0045   0.0700 +- 0.0053
 205   312     3446       24    0.0905 +- 0.0054   0.0916 +- 0.0054
 206   452     3605       27    0.1254 +- 0.0063   0.1270 +- 0.0064
 207   449     3493       22    0.1285 +- 0.0064   0.1299 +- 0.0065
 208   507     3580       24    0.1416 +- 0.0067   0.1433 +- 0.0068
 209   448     3448       21    0.1299 +- 0.0065   0.1313 +- 0.0066
 210   491     3797       24    0.1293 +- 0.0062   0.1307 +- 0.0063
 211   473     3557       18    0.1330 +- 0.0065   0.1341 +- 0.0066
 212   508     3721       17    0.1365 +- 0.0065   0.1376 +- 0.0065
 213   561     3824       29    0.1467 +- 0.0066   0.1486 +- 0.0067
 214   530     3430       16    0.1545 +- 0.0072   0.1558 +- 0.0073
 215   529     3700        7    0.1430 +- 0.0066   0.1434 +- 0.0067
 216   503     3532       15    0.1424 +- 0.0068   0.1435 +- 0.0068
 217   499     3283       15    0.1520 +- 0.0073   0.1532 +- 0.0074
 218   559     3864       14    0.1447 +- 0.0065   0.1456 +- 0.0066
 219   558     4026       11    0.1386 +- 0.0063   0.1393 +- 0.0063
 220   465     3416       10    0.1361 +- 0.0067   0.1368 +- 0.0068
 221   473     3675       10    0.1287 +- 0.0063   0.1293 +- 0.0063
 222   518     3926       19    0.1319 +- 0.0062   0.1330 +- 0.0062
 223   582     3996       14    0.1456 +- 0.0065   0.1465 +- 0.0065
 224   552     4102       20    0.1346 +- 0.0061   0.1357 +- 0.0062
 225   587     4439       15    0.1322 +- 0.0058   0.1330 +- 0.0058
 226   483     3638       14    0.1328 +- 0.0064   0.1336 +- 0.0065
 227   549     3743       18    0.1467 +- 0.0067   0.1479 +- 0.0068
 228   591     4268       19    0.1385 +- 0.0061   0.1395 +- 0.0061
 229   610     4453       14    0.1370 +- 0.0059   0.1377 +- 0.0060
 230   629     4326       15    0.1454 +- 0.0062   0.1463 +- 0.0063
 231   629     4296       17    0.1464 +- 0.0063   0.1474 +- 0.0063
 232   595     4452       24    0.1336 +- 0.0058   0.1349 +- 0.0059
 233   574     4294       18    0.1337 +- 0.0059   0.1346 +- 0.0060
 234   610     4310        6    0.1415 +- 0.0061   0.1419 +- 0.0061
 235   599     4475       13    0.1339 +- 0.0058   0.1345 +- 0.0059
 236   647     4933       16    0.1312 +- 0.0055   0.1319 +- 0.0055
 237   649     4869       12    0.1333 +- 0.0056   0.1339 +- 0.0056
 238   693     4796       22    0.1445 +- 0.0059   0.1456 +- 0.0059
 239   675     4147       12    0.1628 +- 0.0068   0.1636 +- 0.0068
 240   720     4566       10    0.1577 +- 0.0063   0.1583 +- 0.0064
 241   752     5014       25    0.1500 +- 0.0059   0.1513 +- 0.0059
 242   791     5224       12    0.1514 +- 0.0058   0.1520 +- 0.0058
 243   784     5169       10    0.1517 +- 0.0058   0.1522 +- 0.0058
 244   855     5225       18    0.1636 +- 0.0060   0.1646 +- 0.0061
 245   888     5329        9    0.1666 +- 0.0060   0.1671 +- 0.0061
 246   843     5565       13    0.1515 +- 0.0056   0.1521 +- 0.0056
 247   876     5543       11    0.1580 +- 0.0057   0.1586 +- 0.0058
 248   905     5677       11    0.1594 +- 0.0057   0.1599 +- 0.0057
 249   881     5607        8    0.1571 +- 0.0057   0.1575 +- 0.0057
 250   746     5135        9    0.1453 +- 0.0057   0.1457 +- 0.0057
 251   818     4868        2    0.1680 +- 0.0063   0.1682 +- 0.0064
 252   800     5121       18    0.1562 +- 0.0059   0.1572 +- 0.0060
 253   838     5528       12    0.1516 +- 0.0056   0.1522 +- 0.0056
 254   937     6232       14    0.1504 +- 0.0053   0.1509 +- 0.0053
 255   923     6323       15    0.1460 +- 0.0051   0.1466 +- 0.0052
