 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 8.35397e+08   Inhib.Clock = 3.49848e+08   Live =  0.41878
Backgr.clock = 9.30932e+08    Backgr.Inhib.clock = 2.73464e+08  Live = 0.293753
Background scale factor =  1.27932

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
 136   671     2473       58    0.2713 +- 0.0118   0.2797 +- 0.0123
 137   698     2481       70    0.2813 +- 0.0121   0.2919 +- 0.0127
 138   653     2413       68    0.2706 +- 0.0119   0.2807 +- 0.0125
 139   654     2301       75    0.2842 +- 0.0126   0.2966 +- 0.0134
 140   502     1797       51    0.2794 +- 0.0141   0.2899 +- 0.0148
 141   446     1685       44    0.2647 +- 0.0141   0.2738 +- 0.0148
 142   657     2322       56    0.2829 +- 0.0125   0.2920 +- 0.0131
 143   641     2536       78    0.2528 +- 0.0112   0.2631 +- 0.0118
 144   679     2382       75    0.2851 +- 0.0124   0.2970 +- 0.0131
 145   662     2414       67    0.2742 +- 0.0120   0.2843 +- 0.0126
 146   648     2400       83    0.2700 +- 0.0120   0.2825 +- 0.0127
 147   708     2567       72    0.2758 +- 0.0117   0.2861 +- 0.0123
 148   693     2490       72    0.2783 +- 0.0120   0.2890 +- 0.0126
 149   672     2583       76    0.2602 +- 0.0113   0.2703 +- 0.0119
 150   713     2573       90    0.2771 +- 0.0117   0.2901 +- 0.0125
 151   670     2489       74    0.2692 +- 0.0117   0.2798 +- 0.0123
 152   657     2504       64    0.2624 +- 0.0115   0.2712 +- 0.0120
 153   658     3482       98    0.1890 +- 0.0080   0.1960 +- 0.0084
 154   658     2516       59    0.2615 +- 0.0115   0.2696 +- 0.0119
 155   710     2621       67    0.2709 +- 0.0115   0.2800 +- 0.0120
 156   680     2651       73    0.2565 +- 0.0110   0.2659 +- 0.0116
 157   742     2750       62    0.2698 +- 0.0112   0.2778 +- 0.0116
 158   713     2686       61    0.2655 +- 0.0112   0.2734 +- 0.0116
 159   704     2706       71    0.2602 +- 0.0110   0.2692 +- 0.0115
 160   683     2868       67    0.2381 +- 0.0101   0.2455 +- 0.0106
 161   499     2918       93    0.1710 +- 0.0083   0.1783 +- 0.0087
 162   806     3582       89    0.2250 +- 0.0088   0.2324 +- 0.0092
 163   625     2092       57    0.2988 +- 0.0136   0.3095 +- 0.0143
 164   808     2866       76    0.2819 +- 0.0112   0.2918 +- 0.0118
 165   689     2934       70    0.2348 +- 0.0099   0.2422 +- 0.0104
 166   564     2279       67    0.2475 +- 0.0116   0.2571 +- 0.0123
 167   560     2170       54    0.2581 +- 0.0122   0.2666 +- 0.0128
 168   809     2893       87    0.2796 +- 0.0111   0.2908 +- 0.0117
 169   730     2702       80    0.2702 +- 0.0113   0.2808 +- 0.0119
 170   774     2869       72    0.2698 +- 0.0109   0.2787 +- 0.0114
 171   756     2762       82    0.2737 +- 0.0112   0.2845 +- 0.0118
 172   761     2810       72    0.2708 +- 0.0111   0.2800 +- 0.0116
 173   599     2459       58    0.2436 +- 0.0111   0.2512 +- 0.0116
 174   572     2326       49    0.2459 +- 0.0115   0.2527 +- 0.0119
 175   716     2875       73    0.2490 +- 0.0104   0.2574 +- 0.0109
 176   786     3124       86    0.2516 +- 0.0100   0.2608 +- 0.0105
 177   774     3040       79    0.2546 +- 0.0103   0.2634 +- 0.0107
 178   817     3042       81    0.2686 +- 0.0106   0.2780 +- 0.0111
 179   863     3222      101    0.2678 +- 0.0103   0.2790 +- 0.0109
 180   822     3096       73    0.2655 +- 0.0104   0.2738 +- 0.0109
 181   757     2804       78    0.2700 +- 0.0111   0.2799 +- 0.0116
 182   844     3545      112    0.2381 +- 0.0091   0.2481 +- 0.0096
 183   763     3154       97    0.2419 +- 0.0098   0.2518 +- 0.0103
 184   870     3308       89    0.2630 +- 0.0100   0.2724 +- 0.0105
 185   810     3280       82    0.2470 +- 0.0097   0.2551 +- 0.0101
 186   846     3336       86    0.2536 +- 0.0098   0.2622 +- 0.0102
 187   796     3268       71    0.2436 +- 0.0096   0.2505 +- 0.0100
 188   855     3468      116    0.2465 +- 0.0094   0.2576 +- 0.0100
 189   842     3296       91    0.2555 +- 0.0099   0.2648 +- 0.0104
 190   859     3430       94    0.2504 +- 0.0096   0.2595 +- 0.0100
 191   926     3286       96    0.2818 +- 0.0105   0.2927 +- 0.0110
 192   879     3306      102    0.2659 +- 0.0101   0.2768 +- 0.0107
 193   852     3327       93    0.2561 +- 0.0098   0.2656 +- 0.0103
 194   803     3370       79    0.2383 +- 0.0094   0.2456 +- 0.0097
 195   921     3433       78    0.2683 +- 0.0100   0.2763 +- 0.0104
 196   999     3472       84    0.2877 +- 0.0103   0.2969 +- 0.0108
 197   902     3155       80    0.2859 +- 0.0108   0.2955 +- 0.0113
 198   916     3410       62    0.2686 +- 0.0100   0.2750 +- 0.0103
 199   547     2200       58    0.2486 +- 0.0119   0.2573 +- 0.0124
 200   953     3463       85    0.2752 +- 0.0101   0.2841 +- 0.0105
 201   848     3124       86    0.2714 +- 0.0105   0.2814 +- 0.0110
 202   665     3735       92    0.1780 +- 0.0075   0.1838 +- 0.0078
 203   265     6016     2416    0.0440 +- 0.0028   0.0906 +- 0.0064
 204   438     3648      387    0.1201 +- 0.0061   0.1389 +- 0.0072
 205   778     4025      132    0.1933 +- 0.0076   0.2018 +- 0.0080
 206  1059     4067      107    0.2604 +- 0.0090   0.2695 +- 0.0094
 207  1069     4063      127    0.2631 +- 0.0090   0.2741 +- 0.0096
 208  1138     4130      122    0.2755 +- 0.0092   0.2864 +- 0.0097
 209   977     3842       97    0.2543 +- 0.0091   0.2628 +- 0.0095
 210  1096     4287      106    0.2557 +- 0.0087   0.2640 +- 0.0090
 211   993     3970       97    0.2501 +- 0.0089   0.2582 +- 0.0093
 212  1058     4115      107    0.2571 +- 0.0089   0.2660 +- 0.0093
 213  1165     4175      111    0.2790 +- 0.0092   0.2889 +- 0.0097
 214  1063     3791      101    0.2804 +- 0.0097   0.2903 +- 0.0102
 215  1192     4248       89    0.2806 +- 0.0092   0.2883 +- 0.0095
 216  1168     3997       92    0.2922 +- 0.0097   0.3011 +- 0.0101
 217  1074     3635       93    0.2955 +- 0.0103   0.3055 +- 0.0107
 218  1114     4182       93    0.2664 +- 0.0090   0.2742 +- 0.0093
 219  1123     4473      100    0.2511 +- 0.0084   0.2585 +- 0.0087
