 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 5.4924e+08   Inhib.Clock = 1.87177e+08   Live = 0.340792
Backgr.clock = 1.51349e+09    Backgr.Inhib.clock = 5.07553e+08  Live = 0.335354
Background scale factor = 0.368782

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
 237     0        8     6338    0.0000 +- 0.0000   0.0000 +- 0.0000
 238     0        8     6340    0.0000 +- 0.0000   0.0000 +- 0.0000
 239     0        7     5768    0.0000 +- 0.0000   0.0000 +- 0.0000
 240     0        3     5886    0.0000 +- 0.0000   0.0000 +- 0.0000
 241     0        8     6341    0.0000 +- 0.0000   0.0000 +- 0.0000
 242     0       12     6613    0.0000 +- 0.0000   0.0000 +- 0.0000
 243     0        8     6771    0.0000 +- 0.0000   0.0000 +- 0.0000
 244     0        8     6595    0.0000 +- 0.0000   0.0000 +- 0.0000
 245     0        6     6752    0.0000 +- 0.0000   0.0000 +- 0.0000
 246     0       14     6804    0.0000 +- 0.0000   0.0000 +- 0.0000
 247     0       13     6949    0.0000 +- 0.0000   0.0000 +- 0.0000
 248     0        9     7110    0.0000 +- 0.0000   0.0000 +- 0.0000
 249     0       11     7001    0.0000 +- 0.0000   0.0000 +- 0.0000
 250     0        6     6477    0.0000 +- 0.0000   0.0000 +- 0.0000
 251     0        9     6326    0.0000 +- 0.0000   0.0000 +- 0.0000
 252     0       14     6611    0.0000 +- 0.0000   0.0000 +- 0.0000
 253     0        8     7067    0.0000 +- 0.0000   0.0000 +- 0.0000
 254     0       17     7774    0.0000 +- 0.0000   0.0000 +- 0.0000
 255     1       15     8028    0.0667 +- 0.0689  -0.0003 +- -0.0003
 256     0       12     7848    0.0000 +- 0.0000   0.0000 +- 0.0000
 257     0       12     8248    0.0000 +- 0.0000   0.0000 +- 0.0000
 258     0       15     8597    0.0000 +- 0.0000   0.0000 +- 0.0000
 259     0       13     8402    0.0000 +- 0.0000   0.0000 +- 0.0000
 260     0       14     8956    0.0000 +- 0.0000   0.0000 +- 0.0000
 261     0        8     2627    0.0000 +- 0.0000   0.0000 +- 0.0000
 262     1       20     8535    0.0500 +- 0.0512  -0.0003 +- -0.0003
 263     0       11     7844    0.0000 +- 0.0000   0.0000 +- 0.0000
 264     0        6     3576    0.0000 +- 0.0000   0.0000 +- 0.0000
 265     0        4     2965    0.0000 +- 0.0000   0.0000 +- 0.0000
 266     0       13     8023    0.0000 +- 0.0000   0.0000 +- 0.0000
 267     0       11     7303    0.0000 +- 0.0000   0.0000 +- 0.0000
 268     0       81     8737    0.0000 +- 0.0000   0.0000 +- 0.0000
 269     0       69     8216    0.0000 +- 0.0000   0.0000 +- 0.0000
 270     0       10     9893    0.0000 +- 0.0000   0.0000 +- 0.0000
 271     0       19     9763    0.0000 +- 0.0000   0.0000 +- 0.0000
 272     0       15    10554    0.0000 +- 0.0000   0.0000 +- 0.0000
 273     0       11     8942    0.0000 +- 0.0000   0.0000 +- 0.0000
 274     0       11     8705    0.0000 +- 0.0000   0.0000 +- 0.0000
 275     0        6     9264    0.0000 +- 0.0000   0.0000 +- 0.0000
 276     0       13     9335    0.0000 +- 0.0000   0.0000 +- 0.0000
 277     0       14     9955    0.0000 +- 0.0000   0.0000 +- 0.0000
 278     0        9     9695    0.0000 +- 0.0000   0.0000 +- 0.0000
 279     0        8     9641    0.0000 +- 0.0000   0.0000 +- 0.0000
 280     0        9    10953    0.0000 +- 0.0000   0.0000 +- 0.0000
