 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 7.35189e+08   Inhib.Clock = 3.26688e+08   Live = 0.444359
Backgr.clock = 5.63181e+08    Backgr.Inhib.clock = 1.91921e+08  Live = 0.340781
Background scale factor =   1.7022

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
 156   426     2950       14    0.1444 +- 0.0075   0.1456 +- 0.0076
 157   408     2933       18    0.1391 +- 0.0074   0.1406 +- 0.0074
 158   429     2914       22    0.1472 +- 0.0076   0.1491 +- 0.0077
 159   403     2889       11    0.1395 +- 0.0074   0.1404 +- 0.0075
 160   448     3079       11    0.1455 +- 0.0074   0.1464 +- 0.0074
 161   299     3316       23    0.0902 +- 0.0054   0.0912 +- 0.0055
 162   487     3977       14    0.1225 +- 0.0059   0.1232 +- 0.0059
 163   363     2370       14    0.1532 +- 0.0086   0.1547 +- 0.0087
 164   427     3105       14    0.1375 +- 0.0071   0.1386 +- 0.0072
 165   458     3221        9    0.1422 +- 0.0071   0.1429 +- 0.0071
 166   325     2435       11    0.1335 +- 0.0079   0.1345 +- 0.0080
 167   350     2416       20    0.1449 +- 0.0083   0.1469 +- 0.0084
 168   506     3245       14    0.1559 +- 0.0075   0.1571 +- 0.0075
 169   453     3041       15    0.1490 +- 0.0075   0.1502 +- 0.0076
 170   469     3205       13    0.1463 +- 0.0072   0.1474 +- 0.0073
 171   447     3118        9    0.1434 +- 0.0073   0.1441 +- 0.0073
 172   447     3081       10    0.1451 +- 0.0073   0.1459 +- 0.0074
 173   384     2692       15    0.1426 +- 0.0078   0.1440 +- 0.0079
 174   365     2714       11    0.1345 +- 0.0075   0.1354 +- 0.0076
 175   454     3152        7    0.1440 +- 0.0072   0.1446 +- 0.0073
 176   437     3452       12    0.1266 +- 0.0064   0.1273 +- 0.0065
 177   452     3321       14    0.1361 +- 0.0068   0.1371 +- 0.0069
 178   478     3398       23    0.1407 +- 0.0069   0.1423 +- 0.0070
 179   487     3429       17    0.1420 +- 0.0069   0.1432 +- 0.0069
 180   556     3464       13    0.1605 +- 0.0073   0.1615 +- 0.0074
 181   497     3207       18    0.1550 +- 0.0075   0.1565 +- 0.0076
 182   422     3767       23    0.1120 +- 0.0058   0.1132 +- 0.0058
 183   422     3368       17    0.1253 +- 0.0065   0.1264 +- 0.0065
 184   507     3655       14    0.1387 +- 0.0066   0.1396 +- 0.0066
 185   509     3758       21    0.1354 +- 0.0064   0.1367 +- 0.0065
 186   530     3869       17    0.1370 +- 0.0063   0.1380 +- 0.0064
 187   570     3728       12    0.1529 +- 0.0069   0.1537 +- 0.0069
 188     0     3914       24    0.0000 +- 0.0000   0.0000 +- 0.0000
 189   536     3705       19    0.1447 +- 0.0067   0.1459 +- 0.0068
 190   513     3840       17    0.1336 +- 0.0063   0.1346 +- 0.0063
 191   525     3636       19    0.1444 +- 0.0067   0.1457 +- 0.0068
 192   542     3718       22    0.1458 +- 0.0067   0.1473 +- 0.0068
 193   519     3893        8    0.1333 +- 0.0062   0.1338 +- 0.0063
 194   505     3851       11    0.1311 +- 0.0062   0.1318 +- 0.0062
 195   501     3884       17    0.1290 +- 0.0061   0.1300 +- 0.0062
 196   607     3963       17    0.1532 +- 0.0067   0.1543 +- 0.0067
 197   478     3585        8    0.1333 +- 0.0065   0.1338 +- 0.0065
 198   505     3628       10    0.1392 +- 0.0066   0.1399 +- 0.0066
 199   310     2501       11    0.1240 +- 0.0075   0.1249 +- 0.0075
 200   513     3742       11    0.1371 +- 0.0065   0.1378 +- 0.0065
 201   500     3475       13    0.1439 +- 0.0069   0.1448 +- 0.0069
 202   364     3946       25    0.0922 +- 0.0051   0.0933 +- 0.0051
 203   152     5420     1404    0.0280 +- 0.0023   0.0502 +- 0.0044
 204   243     3989      224    0.0609 +- 0.0040   0.0674 +- 0.0045
 205   408     4211       24    0.0969 +- 0.0050   0.0978 +- 0.0051
 206   573     4378       27    0.1309 +- 0.0058   0.1323 +- 0.0059
 207   600     4445       22    0.1350 +- 0.0059   0.1361 +- 0.0059
 208   587     4557       24    0.1288 +- 0.0056   0.1300 +- 0.0057
 209   538     4283       21    0.1256 +- 0.0057   0.1267 +- 0.0058
 210   599     4825       24    0.1241 +- 0.0054   0.1252 +- 0.0054
 211   552     4356       18    0.1267 +- 0.0057   0.1276 +- 0.0058
 212   597     4673       17    0.1278 +- 0.0056   0.1286 +- 0.0056
 213   643     4576       29    0.1405 +- 0.0059   0.1420 +- 0.0060
 214   598     4315       16    0.1386 +- 0.0060   0.1395 +- 0.0061
 215   655     4612        7    0.1420 +- 0.0059   0.1424 +- 0.0059
 216   667     4541       15    0.1469 +- 0.0061   0.1477 +- 0.0061
 217   609     4062       15    0.1499 +- 0.0065   0.1509 +- 0.0066
 218   662     4769       14    0.1388 +- 0.0058   0.1395 +- 0.0058
 219   610     5031       11    0.1212 +- 0.0052   0.1217 +- 0.0052
 220   572     4491       10    0.1274 +- 0.0057   0.1279 +- 0.0057
 221   624     4634       10    0.1347 +- 0.0057   0.1352 +- 0.0058
 222   667     5023       19    0.1328 +- 0.0055   0.1336 +- 0.0055
 223   688     5256       14    0.1309 +- 0.0053   0.1315 +- 0.0053
 224   638     5125       20    0.1245 +- 0.0052   0.1253 +- 0.0053
 225   726     5562       15    0.1305 +- 0.0052   0.1311 +- 0.0052
 226   642     4672       14    0.1374 +- 0.0058   0.1381 +- 0.0058
 227   616     4601       18    0.1339 +- 0.0057   0.1348 +- 0.0058
 228   695     5268       19    0.1319 +- 0.0053   0.1327 +- 0.0054
 229   766     5450       14    0.1406 +- 0.0054   0.1412 +- 0.0055
 230   731     5279       15    0.1385 +- 0.0055   0.1391 +- 0.0055
 231   772     5530       17    0.1396 +- 0.0054   0.1403 +- 0.0054
 232   758     5522       24    0.1373 +- 0.0053   0.1383 +- 0.0054
 233   684     5176       18    0.1321 +- 0.0054   0.1329 +- 0.0054
 234   652     5300        6    0.1230 +- 0.0051   0.1233 +- 0.0051
 235   651     5334       13    0.1220 +- 0.0051   0.1226 +- 0.0051
 236   727     5942       16    0.1223 +- 0.0048   0.1229 +- 0.0048
 237   700     5847       12    0.1197 +- 0.0048   0.1201 +- 0.0048
 238   723     5593       22    0.1293 +- 0.0051   0.1301 +- 0.0052
 239   736     5080       12    0.1449 +- 0.0057   0.1455 +- 0.0057
 240   763     5558       10    0.1373 +- 0.0053   0.1377 +- 0.0053
 241   732     5839       25    0.1254 +- 0.0049   0.1263 +- 0.0050
 242   769     6204       12    0.1240 +- 0.0047   0.1244 +- 0.0048
 243   817     6068       10    0.1346 +- 0.0050   0.1350 +- 0.0050
 244   783     6032       18    0.1298 +- 0.0049   0.1305 +- 0.0050
 245   826     6155        9    0.1342 +- 0.0050   0.1345 +- 0.0050
 246   807     6245       13    0.1292 +- 0.0048   0.1297 +- 0.0049
 247   756     6159       11    0.1227 +- 0.0047   0.1231 +- 0.0047
 248   849     6334       11    0.1340 +- 0.0049   0.1344 +- 0.0049
 249   826     6371        8    0.1296 +- 0.0048   0.1299 +- 0.0048
 250   727     5886        9    0.1235 +- 0.0049   0.1238 +- 0.0049
 251   735     5546        2    0.1325 +- 0.0052   0.1326 +- 0.0052
 252   775     5807       18    0.1335 +- 0.0051   0.1342 +- 0.0051
 253   787     6335       12    0.1242 +- 0.0047   0.1246 +- 0.0047
 254   954     7249       14    0.1316 +- 0.0045   0.1320 +- 0.0046
 255   905     7466       15    0.1212 +- 0.0043   0.1216 +- 0.0043
 256   857     7116       17    0.1204 +- 0.0044   0.1209 +- 0.0044
 257   821     7457       21    0.1101 +- 0.0040   0.1106 +- 0.0041
 258   852     7774       20    0.1096 +- 0.0040   0.1101 +- 0.0040
 259   959     7908       26    0.1213 +- 0.0041   0.1220 +- 0.0042
 260  1062     7977       11    0.1331 +- 0.0043   0.1334 +- 0.0044
 261   284     2325       10    0.1222 +- 0.0077   0.1231 +- 0.0077
 262  1142     7825       19    0.1459 +- 0.0046   0.1465 +- 0.0046
 263   939     6922       15    0.1357 +- 0.0047   0.1362 +- 0.0047
 264   375     2823        3    0.1328 +- 0.0073   0.1331 +- 0.0073
 265   281     2283        6    0.1231 +- 0.0078   0.1236 +- 0.0078
 266  1109     7192        9    0.1542 +- 0.0050   0.1545 +- 0.0050
 267   767     6529       13    0.1175 +- 0.0045   0.1179 +- 0.0045
 268   844     7896       90    0.1069 +- 0.0039   0.1090 +- 0.0040
